Description,Code,Jobs,Median,Change,Mean,Change,10,20,25,30,40,60,70,75,80,90
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,51,9.42,,10.85,,6.57,7.50,7.85,8.11,8.58,10.16,11.12,11.54,12.67,x
Manufacture of paper and paper products ,17,57,12.15,,14.11,,7.17,8.61,9.18,9.81,11.13,13.72,15.67,16.84,17.62,x
Printing and reproduction of recorded media ,18,101,11.60,,13.40,,7.07,8.19,8.76,9.33,10.26,12.77,14.37,15.44,16.64,20.10
Manufacture of coke and refined petroleum products ,19,10,x,,18.08,,6.07,6.29,6.38,7.14,8.78,14.89,x,x,x,x
Manufacture of chemicals and chemical products ,20,95,14.07,,16.16,,7.50,9.12,9.88,10.66,12.29,15.93,17.81,19.31,21.01,27.47
Manufacture of basic pharmaceutical products and pharmaceutical preparations ,21,65,16.09,,19.62,,9.18,10.78,11.51,12.18,14.15,18.07,21.29,23.22,25.72,x
Manufacture of rubber and plastic products ,22,154,10.01,,12.25,,6.75,7.56,8.00,8.39,9.23,11.13,12.63,13.58,15.01,18.99
Manufacture of other non-metallic mineral products ,23,83,11.14,,13.22,,7.25,8.50,8.95,9.46,10.28,12.86,15.26,16.01,17.34,20.82
Manufacture of basic metals ,24,68,13.68,,14.40,,8.13,9.92,10.86,11.33,12.48,14.98,16.08,16.59,17.41,x
"Manufacture of fabricated metal products, except machinery and equipment ",25,249,11.32,,12.78,,7.06,8.17,8.75,9.21,10.20,12.48,13.94,15.00,15.93,19.66
"Manufacture of computer, electronic and optical products ",26,131,14.85,,16.91,,7.79,9.29,10.00,10.81,12.76,16.78,19.06,20.82,22.56,29.02
Manufacture of electrical equipment ,27,98,11.13,,13.50,,7.24,8.30,8.77,9.23,10.16,12.70,14.30,15.62,16.81,21.81
Manufacture of machinery and equipment n.e.c. ,28,189,12.90,,14.82,,7.86,9.20,9.76,10.43,11.54,14.21,16.04,17.21,18.40,23.33
"Manufacture of motor vehicles, trailers and semi-trailers ",29,149,14.32,,15.88,,8.39,9.98,10.70,11.30,12.86,15.77,18.34,19.67,20.88,26.15
Manufacture of other transport equipment ,30,167,15.88,,17.69,,10.38,11.86,12.43,13.16,14.55,17.58,19.23,20.47,21.92,27.11
Manufacture of furniture ,31,56,9.68,,11.37,,6.41,7.28,7.52,8.00,8.93,10.60,11.59,12.35,13.51,x
Other manufacturing ,32,63,10.25,,12.77,,6.70,7.62,8.02,8.41,9.45,11.24,12.82,14.02,15.86,x
Repair and installation of machinery and equipment ,33,80,14.06,,15.96,,8.18,9.88,10.66,11.27,12.68,15.68,17.32,18.52,20.60,x
"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY ",D ,180,15.60,,18.55,,9.29,10.40,11.41,12.44,14.44,17.49,20.28,22.15,24.23,30.05
"Electricity, gas, steam and air conditioning supply ",35,180,15.60,,18.55,,9.29,10.40,11.41,12.44,14.44,17.49,20.28,22.15,24.23,30.05
"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES ",E ,115,11.51,,13.76,,7.23,8.23,8.88,9.42,10.38,12.87,14.80,15.87,17.26,x
"Water collection, treatment and supply ",36,31,14.29,,16.34,,9.11,10.73,11.39,12.26,13.10,15.31,16.69,17.34,18.78,x
Sewerage ,37,11,11.49,,13.16,,7.35,8.55,9.00,9.83,10.45,12.30,13.52,x,x,x
"Waste collection, treatment and disposal activities; materials recovery ",38,72,10.36,,12.89,,6.97,7.69,8.10,8.70,9.58,11.50,13.14,14.58,16.38,x
Remediation activities and other waste management services ,39,x,8.93,,9.63,,x,x,x,x,x,x,x,x,x,x
CONSTRUCTION ,F ,870,12.14,,14.49,,7.50,8.87,9.45,10.00,11.04,13.56,15.33,16.49,18.00,23.64
Construction of buildings ,41,265,12.77,,16.20,,7.50,8.99,9.50,10.06,11.25,14.66,17.59,19.19,21.70,28.90
Civil engineering ,42,147,12.22,,14.62,,8.00,9.25,9.87,10.26,11.25,13.75,15.86,16.86,18.22,23.24
Specialised construction activities ,43,457,11.97,,13.46,,7.19,8.64,9.24,9.83,10.84,13.06,14.42,15.33,16.35,20.32
WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ,G,"3,583",8.05,,11.46,,6.00,6.37,6.53,6.76,7.28,9.00,10.45,11.50,12.83,18.25
Wholesale and retail trade and repair of motor vehicles and motorcycles ,45,399,9.45,,11.40,,6.10,6.89,7.30,7.75,8.61,10.45,11.76,12.50,13.48,17.90
"Wholesale trade, except of motor vehicles and motorcycles ",46,926,10.64,,14.38,,6.71,7.59,8.02,8.49,9.47,12.34,14.82,16.29,18.44,26.13
"Retail trade, except of motor vehicles and motorcycles ",47,"2,258",7.16,,9.89,,5.94,6.17,6.34,6.43,6.76,7.81,8.72,9.37,10.34,14.25
TRANSPORTATION AND STORAGE ,H ,"1,055",11.07,,13.28,,7.59,8.62,9.10,9.46,10.01,12.26,13.96,15.11,16.70,22.34
Land transport and transport via pipelines ,49,430,10.68,,12.30,,7.33,8.31,8.70,9.10,9.85,11.84,13.32,14.34,15.81,20.68
Water transport ,50,10,11.40,,14.68,,6.82,7.99,8.38,8.70,10.69,12.71,x,x,x,x
Air transport ,51,73,18.13,,21.17,,9.40,11.43,12.45,13.30,15.54,21.24,24.61,27.58,29.30,x
Warehousing and support activities for transportation ,52,310,11.81,,14.40,,7.70,8.62,9.04,9.56,10.62,13.44,15.33,16.37,18.30,24.59
Postal and courier activities ,53,232,9.99,,11.44,,7.70,9.19,9.31,9.51,9.55,10.93,11.72,12.25,13.14,15.18
ACCOMMODATION AND FOOD SERVICE ACTIVITIES ,I ,"1,233",6.40,,8.35,,5.42,x,5.93,5.95,6.07,6.80,7.45,7.95,8.59,11.11
Accommodation ,55,280,6.75,,9.24,,x,5.93,5.98,6.00,6.29,7.31,8.16,8.74,9.60,13.25
Food and beverage service activities ,56,953,6.29,,8.06,,5.19,x,5.93,5.93,6.00,6.67,7.27,7.69,8.26,10.57
INFORMATION AND COMMUNICATION ,J ,929,16.52,,20.08,,8.18,10.40,11.63,12.70,14.54,18.91,21.98,23.86,26.22,34.37
Publishing activities ,58,165,13.80,,18.50,,6.74,8.76,9.45,10.35,12.11,16.01,18.56,20.26,22.56,29.48
"Motion picture, video and television programme production, sound recording and music publishing activities ",59,73,16.11,,20.05,,6.01,7.97,9.58,11.04,13.73,18.50,20.78,22.58,24.62,x
Programming and broadcasting activities ,60,22,18.85,,24.25,,9.99,12.48,13.52,15.01,16.72,21.59,25.50,26.84,x,x
Telecommunications ,61,212,15.67,,18.24,,8.67,10.91,12.45,13.07,14.09,17.01,19.14,21.05,22.93,28.41
"Computer programming, consultancy and related activities ",62,400,18.47,,21.29,,8.75,11.36,12.50,13.68,15.86,21.22,24.53,26.64,29.20,37.10
Information service activities ,63,57,18.26,,21.11,,9.20,11.15,12.22,13.96,15.60,20.44,23.41,26.66,29.25,x
FINANCIAL AND INSURANCE ACTIVITIES ,K ,"1,087",16.57,,24.44,,8.59,10.07,10.84,11.74,13.72,20.28,25.33,28.47,32.86,47.18
"Financial service activities, except insurance and pension funding ",64,583,16.43,,25.02,,8.69,10.14,10.85,11.69,13.61,20.39,25.56,28.57,33.20,47.11
"Insurance, reinsurance and pension funding, except compulsory social security ",65,140,15.39,,21.23,,8.59,9.86,10.56,11.29,13.07,18.51,22.40,24.90,28.58,39.13
Activities auxiliary to financial services and insurance activities ,66,363,17.41,,24.76,,8.23,9.99,10.99,12.01,14.24,21.06,26.26,30.02,33.89,50.37
REAL ESTATE ACTIVITIES ,L ,296,11.64,,14.41,,6.87,8.15,8.81,9.31,10.42,13.11,15.00,16.19,17.80,23.26
Real estate activities ,68,296,11.64,,14.41,,6.87,8.15,8.81,9.31,10.42,13.11,15.00,16.19,17.80,23.26
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",M ,"1,386",15.33,,19.77,,7.84,9.58,10.45,11.34,13.25,17.64,20.72,22.79,25.42,34.75
Legal and accounting activities ,69,455,14.75,,19.55,,7.69,9.11,9.91,10.72,12.59,17.37,20.25,22.35,25.67,35.74
Activities of head offices; management consultancy activities ,70,230,16.36,,23.28,,7.98,10.00,11.02,12.26,14.16,19.64,23.55,25.98,30.12,43.54
Architectural and engineering activities; technical testing and analysis ,71,361,15.70,,18.31,,8.42,10.22,11.14,11.91,13.69,17.73,20.47,22.34,24.39,30.29
Scientific research and development ,72,118,17.89,,22.41,,10.68,13.07,13.88,14.53,16.22,20.50,23.44,25.30,28.13,x
Advertising and market research ,73,104,13.88,,20.20,,7.48,9.20,10.13,10.81,12.42,16.01,19.39,21.84,24.64,36.66
"Other professional, scientific and technical activities ",74,78,12.54,,15.93,,6.71,8.10,9.00,9.66,10.81,14.31,17.05,18.60,20.40,27.05
Veterinary activities ,75,41,10.14,,13.10,,6.50,7.32,7.60,8.00,9.02,11.22,14.42,15.83,17.65,x
ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES ,N ,"1,443",8.29,,11.29,,5.94,6.25,6.50,6.80,7.47,9.45,10.88,12.00,13.42,18.36
Rental and leasing activities ,77,115,9.86,,11.73,,6.20,7.15,7.50,7.87,8.86,10.73,12.01,13.07,14.23,19.08
Employment activities ,78,499,8.00,,10.63,,5.93,6.11,6.35,6.60,7.22,9.00,10.53,11.61,13.07,18.00
"Travel agency, tour operator and other reservation service and related activities ",79,74,9.78,,13.24,,6.43,7.16,7.49,7.97,8.77,11.25,13.15,13.85,15.10,x
Security and investigation activities ,80,113,8.38,,9.86,,6.28,6.81,7.04,7.38,7.75,9.14,10.00,10.59,10.98,13.99
Services to buildings and landscape activities ,81,395,7.00,,10.07,,5.93,6.00,6.04,6.20,6.50,7.81,9.00,9.97,10.94,14.97
"Office administrative, office support and other business support activities ",82,248,10.25,,14.11,,6.45,7.25,7.56,8.00,9.01,12.00,14.04,15.65,17.99,24.33
PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY ,O ,"1,366",14.03,,15.65,,8.78,9.85,10.55,11.35,12.65,15.50,17.42,18.41,19.60,23.52
Public administration and defence; compulsory social security ,84,"1,366",14.03,,15.65,,8.78,9.85,10.55,11.35,12.65,15.50,17.42,18.41,19.60,23.52
EDUCATION ,P ,"3,963",13.13,,15.94,,6.98,8.08,8.71,9.34,11.03,15.86,18.73,20.40,22.07,26.84
Education ,85,"3,963",13.13,,15.94,,6.98,8.08,8.71,9.34,11.03,15.86,18.73,20.40,22.07,26.84
HUMAN HEALTH AND SOCIAL WORK ACTIVITIES ,Q ,"3,462",11.39,,14.49,,6.66,7.66,8.17,8.70,9.85,13.55,15.65,16.97,18.22,22.52
Human health activities ,86,"2,256",14.03,,16.68,,7.95,9.08,9.63,10.41,12.01,15.67,17.62,18.75,20.32,25.15
Residential care activities ,87,610,7.69,,9.52,,5.99,6.26,6.45,6.68,7.11,8.40,9.57,10.42,11.46,14.63
Social work activities without accommodation ,88,595,8.90,,10.99,,6.12,6.70,6.98,7.25,8.00,10.10,11.74,12.67,13.90,17.18
"ARTS, ENTERTAINMENT AND RECREATION ",R,436,8.61,,12.14,,5.94,6.30,6.55,6.92,7.61,9.76,11.39,12.65,14.03,18.55
"Creative, arts and entertainment activities ",90,41,12.27,,15.20,,6.80,7.58,8.59,9.27,10.91,13.59,15.74,16.77,18.27,x
"Libraries, archives, museums and other cultural activities ",91,58,11.17,,13.24,,6.43,7.50,8.07,8.67,9.98,12.63,14.03,15.26,16.47,x
Gambling and betting activities ,92,96,7.62,,9.97,,6.00,6.15,6.30,6.47,7.04,8.43,9.36,9.97,10.77,x
Sports activities and amusement and recreation activities ,93,241,8.16,,12.27,,5.93,6.11,6.45,6.65,7.28,9.11,10.50,11.74,13.39,18.64
OTHER SERVICE ACTIVITIES ,S ,398,9.90,,12.72,,6.00,6.61,7.00,7.50,8.55,11.19,12.98,14.34,15.92,21.56
Activities of membership organisations ,94,195,11.73,,14.78,,6.54,7.61,8.18,8.98,10.23,13.04,15.24,16.67,19.00,23.64
Repair of computers and personal and household goods ,95,26,11.32,,14.05,,6.47,7.34,8.15,8.93,10.06,12.42,14.26,16.58,x,x
Other personal service activities ,96,177,8.01,,10.38,,5.93,6.03,6.29,6.51,7.17,9.05,10.31,10.94,12.29,16.58
ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE ,T ,52,8.36,,9.14,,6.55,7.00,7.34,7.53,8.00,8.73,9.21,9.70,10.01,x
Activities of households as employers of domestic personnel ,97,52,8.36,,9.14,,6.55,7.00,7.34,7.53,8.00,8.73,9.21,9.70,10.01,x
Undifferentiated goods- and services-producing activities of private households for own use ,98,:,,,,,,,,,,,,,,
ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES ,U ,x,x,,14.43,,x,x,x,x,x,x,x,x,x,x
Activities of extraterritorial organisations and bodies ,99,x,x,,14.43,,x,x,x,x,x,x,x,x,x,x
NOT CLASSIFIED,,17,20.09,,19.20,,7.87,12.98,13.92,15.11,17.37,20.58,20.96,22.04,24.69,x
